iter	RMSE
0	55.89249337
1	50.10478141
2	44.94414614
3	40.34658846
4	36.28784513
5	32.68013089
6	29.48173895
7	26.56211695
8	24.01253304
9	21.75893662
10	19.73432453
11	17.92690596
12	16.35010084
13	14.95093377
14	13.70586152
15	12.58496425
16	11.59414077
17	10.72104456
18	9.963616073
19	9.295903038
20	8.707757103
21	8.176500586
22	7.701441965
23	7.274661879
24	6.914863541
25	6.583295315
26	6.303457302
27	6.061898609
28	5.843132204
29	5.650104091
30	5.485211661
31	5.336999126
32	5.19353862
33	5.083185996
34	4.97510717
35	4.879217251
36	4.790249734
37	4.722592879
38	4.663448655
39	4.603771193
40	4.554258927
41	4.506120716
42	4.46503075
43	4.425275753
44	4.38748976
45	4.356160833
46	4.330347284
47	4.307684599
48	4.283513606
49	4.263665665
50	4.242090067
51	4.226149637
52	4.209821163
53	4.19505865
54	4.182083112
55	4.167948405
56	4.153663405
57	4.13266263
58	4.117699867
59	4.103160966
60	4.088939092
61	4.073765702
62	4.05527639
63	4.043658153
64	4.033937138
65	4.017904418
66	4.007947123
67	3.999729669
68	3.991217173
69	3.981308876
70	3.973232857
71	3.962689863
72	3.953979953
73	3.938921206
74	3.930678691
75	3.92445225
76	3.917332091
77	3.911567783
78	3.90353754
79	3.897088588
80	3.890441449
81	3.885849689
82	3.880319761
83	3.876183434
84	3.870525817
85	3.861822317
86	3.853566932
87	3.844142113
88	3.836453204
89	3.830825607
90	3.826441363
91	3.821623485
92	3.814301092
93	3.810291284
94	3.803309226
95	3.799751003
96	3.792052694
97	3.789468884
98	3.784013224
99	3.781092513
100	3.775526438
101	3.772948443
102	3.76967906
103	3.765283289
104	3.761256051
105	3.757127851
106	3.754177665
107	3.75197032
108	3.74671343
109	3.743409789
110	3.740379609
111	3.73678395
112	3.733353301
113	3.72856411
114	3.725242024
115	3.720267431
116	3.717132805
117	3.714055251
118	3.711276711
119	3.708600461
120	3.705525049
121	3.702709026
122	3.700377209
123	3.696418918
124	3.693277696
125	3.690301738
126	3.687600005
127	3.685006141
128	3.682888253
129	3.680526353
130	3.678061424
131	3.676836255
132	3.674653038
133	3.672752342
134	3.670275572
135	3.666404394
136	3.664391774
137	3.661584991
138	3.659800643
139	3.657457336
140	3.65427659
141	3.652056209
142	3.649637342
143	3.648223541
144	3.64659648
145	3.644961742
146	3.642840718
147	3.641180895
148	3.640048604
149	3.637998123
150	3.63614555
151	3.634540746
152	3.633290696
153	3.631695379
154	3.630055933
155	3.629000444
156	3.627300857
157	3.626182079
158	3.625338235
159	3.623645359
160	3.622398679
161	3.621010526
162	3.618985542
163	3.617209326
164	3.615839351
165	3.614946754
166	3.613497249
167	3.611472897
168	3.609577019
169	3.607980236
170	3.606461758
171	3.605355906
172	3.603556005
173	3.602363705
174	3.601161294
175	3.599812439
176	3.598266961
177	3.597562845
178	3.596801755
179	3.596033137
180	3.595083699
181	3.594211377
182	3.593161215
183	3.591670583
184	3.590501517
185	3.58939628
186	3.588173826
187	3.58675703
188	3.585321995
189	3.584238774
190	3.583196777
191	3.581984259
192	3.580621525
193	3.580046976
194	3.57933972
195	3.578275221
196	3.577400795
197	3.576650749
198	3.57541839
199	3.574449077
200	3.57399206
201	3.572996412
202	3.571823514
203	3.570838687
204	3.569341035
205	3.5681414
206	3.566639032
207	3.565727319
208	3.565137303
209	3.564452015
210	3.563299427
211	3.562252159
212	3.56172316
213	3.560989041
214	3.560354983
215	3.559274091
216	3.558572657
217	3.558099942
218	3.557441576
219	3.556145473
220	3.555306263
221	3.554588386
222	3.553470828
223	3.552581354
224	3.551980571
225	3.551102334
226	3.549932178
227	3.548980495
228	3.54822423
229	3.54700188
230	3.545631233
231	3.544917846
232	3.54442133
233	3.543312245
234	3.542922315
235	3.541485394
236	3.540611516
237	3.53972756
238	3.538632738
239	3.537862785
240	3.537229417
241	3.536470154
242	3.535744539
243	3.534865793
244	3.534224191
245	3.533574165
246	3.533038148
247	3.532450749
248	3.532003386
249	3.531545571
250	3.530501723
251	3.529725009
252	3.528833082
253	3.528305348
254	3.527728714
255	3.526866857
256	3.526054019
257	3.525381472
258	3.524826371
259	3.523884738
260	3.52314166
261	3.52241781
262	3.521716875
263	3.521072329
264	3.520746523
265	3.520039371
266	3.519292957
267	3.518738211
268	3.51795566
269	3.517366879
270	3.516707397
271	3.516188306
272	3.515607137
273	3.514957732
274	3.514431713
275	3.513891937
276	3.513187308
277	3.512573061
278	3.512036025
279	3.51133578
280	3.510903494
281	3.510409991
282	3.509896012
283	3.509414
284	3.508779632
285	3.507895448
286	3.507037173
287	3.506436701
288	3.505950508
289	3.505472168
290	3.505135777
291	3.504736877
292	3.503913487
293	3.503522945
294	3.503107033
295	3.50269957
296	3.502074522
297	3.501426844
298	3.50092445
299	3.500585625
300	3.500241828
301	3.499717499
302	3.499031076
303	3.498448269
304	3.497866046
305	3.497356777
306	3.496743634
307	3.496386999
308	3.495996432
309	3.495363928
310	3.494885996
311	3.494292745
312	3.493494581
313	3.493101936
314	3.492566294
315	3.492044349
316	3.491637342
317	3.491168548
318	3.490689622
319	3.489576774
320	3.488878667
321	3.48827625
322	3.487817339
323	3.487314745
324	3.486918038
325	3.486184945
326	3.485783834
327	3.485396464
328	3.484967681
329	3.484423733
330	3.483975647
331	3.483607889
332	3.483259916
333	3.482582791
334	3.482274392
335	3.481930458
336	3.481408937
337	3.480644291
338	3.480290204
339	3.479492457
340	3.478832378
341	3.478291798
342	3.477935255
343	3.477577534
344	3.476995678
345	3.476490709
346	3.476176183
347	3.475838105
348	3.475503212
349	3.475090818
350	3.474727727
351	3.474274361
352	3.473980967
353	3.473671474
354	3.473355882
355	3.47305983
356	3.472812502
357	3.472476656
358	3.472164881
359	3.471926217
360	3.471801915
361	3.471275787
362	3.470880226
363	3.470496143
364	3.470222751
365	3.469792112
366	3.469160588
367	3.468795097
368	3.468360817
369	3.467960738
370	3.4674063
371	3.467068783
372	3.466618455
373	3.466211117
374	3.465936815
375	3.465495632
376	3.465111292
377	3.464890313
378	3.464393976
379	3.464086364
380	3.463510783
381	3.463061556
382	3.462411452
383	3.462187994
384	3.461949516
385	3.461573328
386	3.461339077
387	3.460807232
388	3.460528944
389	3.46026458
390	3.460035831
391	3.459511314
392	3.459160259
393	3.458880737
394	3.45855625
395	3.458165442
396	3.457899946
397	3.457524552
398	3.457151322
399	3.456644708
400	3.456259343
401	3.455528367
402	3.455155055
403	3.454731795
404	3.45439215
405	3.454176645
406	3.453867806
407	3.453548272
408	3.453289793
409	3.452952611
410	3.452646359
411	3.452345036
412	3.452082105
413	3.451720899
414	3.451458054
415	3.451104715
416	3.450852546
417	3.450706969
418	3.450519919
419	3.450317929
420	3.450016963
421	3.449700765
422	3.449459582
423	3.449123646
424	3.44887006
425	3.448476496
426	3.448234026
427	3.447928338
428	3.447476506
429	3.44720179
430	3.446871186
431	3.446609707
432	3.446242127
433	3.445714999
434	3.445385513
435	3.445170883
436	3.444848601
437	3.444379413
438	3.444157089
439	3.443944886
440	3.443645175
441	3.443242755
442	3.442826169
443	3.442695771
444	3.442466225
445	3.442114308
446	3.441886311
447	3.441673185
448	3.441216148
449	3.440982407
450	3.440566805
451	3.440072093
452	3.439791972
453	3.439534362
454	3.439312647
455	3.439029712
456	3.438632645
457	3.438410011
458	3.438207062
459	3.437975302
460	3.437649898
461	3.437428939
462	3.437333679
463	3.437008765
464	3.436680172
465	3.436326028
466	3.43609513
467	3.435914818
468	3.435653911
469	3.435456166
470	3.435180637
471	3.434875113
472	3.434626985
473	3.434295057
474	3.434013543
475	3.433704913
476	3.433377258
477	3.433219086
478	3.433036807
479	3.432780009
480	3.432447656
481	3.432129662
482	3.431952815
483	3.431721485
484	3.431449552
485	3.431137614
486	3.43095614
487	3.430712477
488	3.430441224
489	3.430191302
490	3.429792046
491	3.429520981
492	3.429271068
493	3.429175017
494	3.429018983
495	3.4287171
496	3.428607799
497	3.428366427
498	3.428144887
499	3.428012726
500	3.427710234
501	3.427282738
502	3.427099984
503	3.426872504
504	3.42672975
505	3.426376704
506	3.426074466
507	3.425897165
508	3.425331876
509	3.425203903
510	3.424936936
511	3.42475019
512	3.424450928
513	3.424161248
514	3.4239031
515	3.423661645
516	3.423371833
517	3.423252782
518	3.423074386
519	3.422796648
520	3.422629988
521	3.422431305
522	3.422296775
523	3.422075238
524	3.421795645
525	3.421627402
526	3.421306239
527	3.421037095
528	3.420764288
529	3.420442279
530	3.420229907
531	3.420063639
532	3.419825468
533	3.419616321
534	3.419382512
535	3.419157649
536	3.418741263
537	3.418371855
538	3.41823717
539	3.41796968
540	3.417806358
541	3.417622588
542	3.417451496
543	3.417304706
544	3.41697574
545	3.416679598
546	3.416361338
547	3.416235093
548	3.416065853
549	3.415938192
550	3.415815657
551	3.415613834
552	3.415431945
553	3.415155628
554	3.414947355
555	3.414685803
556	3.414476584
557	3.414317164
558	3.414126719
559	3.414004383
560	3.413762975
561	3.413630569
562	3.413401397
563	3.413250245
564	3.413073895
565	3.412755976
566	3.412544793
567	3.412276106
568	3.41204217
569	3.411806067
570	3.411579067
571	3.411139809
572	3.410958544
573	3.410780463
574	3.410581182
575	3.410483068
576	3.410268935
577	3.410048754
578	3.409847778
579	3.409664898
580	3.409484666
581	3.409274639
582	3.408927769
583	3.408747745
584	3.408490184
585	3.408274112
586	3.40813253
587	3.407943001
588	3.407756684
589	3.407567042
590	3.407309494
591	3.407006713
592	3.406861289
593	3.406713488
594	3.406534945
595	3.406337677
596	3.406066775
597	3.405755534
598	3.405521564
599	3.405150797
600	3.404886631
601	3.404575311
602	3.404435591
603	3.404290532
604	3.40412491
605	3.403939961
606	3.403806678
607	3.403705223
608	3.403529643
609	3.403326216
610	3.403143961
611	3.402953136
612	3.402775006
613	3.402577481
614	3.402354273
615	3.402231655
616	3.401954914
617	3.401730538
618	3.401705926
619	3.401396021
620	3.401190405
621	3.400983114
622	3.400830715
623	3.400572122
624	3.400404993
625	3.400202276
626	3.399902751
627	3.399879753
628	3.399667666
629	3.399368756
630	3.399218404
631	3.399088659
632	3.398671276
633	3.398439197
634	3.398228363
635	3.398066905
636	3.397908426
637	3.397733612
638	3.397593539
639	3.397388231
640	3.397209239
641	3.397083838
642	3.396934526
643	3.396729464
644	3.39664258
645	3.396417565
646	3.396279286
647	3.396194841
648	3.396042011
649	3.395885339
650	3.395709262
651	3.395652951
652	3.395394127
653	3.395374522
654	3.395151018
655	3.39500156
656	3.39448148
657	3.394237047
658	3.394114046
659	3.394090778
660	3.394038678
661	3.393819652
662	3.393532527
663	3.393307801
664	3.393105397
665	3.392893455
666	3.392758148
667	3.39266707
668	3.392407394
669	3.39216187
670	3.391971907
671	3.391782053
672	3.391594277
673	3.391463136
674	3.391253083
675	3.390991111
676	3.39084174
677	3.390689882
678	3.390534443
679	3.390217515
680	3.389963026
681	3.389753167
682	3.389511885
683	3.3893712
684	3.389216437
685	3.389062325
686	3.388796325
687	3.388652411
688	3.388529906
689	3.388397489
690	3.388261001
691	3.388136237
692	3.387915464
693	3.387794143
694	3.387438411
695	3.387088513
696	3.386906175
697	3.386753656
698	3.386520126
699	3.386399491
700	3.386181667
701	3.385992028
702	3.385866358
703	3.385574383
704	3.385450155
705	3.385275242
706	3.385217386
707	3.385091395
708	3.38486206
709	3.384731278
710	3.384595614
711	3.384416528
712	3.384313537
713	3.384053296
714	3.383943012
715	3.383806531
716	3.383695307
717	3.383499294
718	3.383374735
719	3.38323712
720	3.382954378
721	3.382782598
722	3.382633623
723	3.382473366
724	3.382234573
