iter	Passed	Remaining
0	80	80387
1	115	57830
2	136	45293
3	153	38249
4	170	33931
5	187	31045
6	204	28973
7	220	27377
8	239	26413
9	259	25642
10	277	24987
11	295	24330
12	323	24536
13	344	24246
14	364	23960
15	388	23877
16	409	23695
17	432	23610
18	450	23263
19	466	22845
20	483	22530
21	508	22620
22	526	22356
23	546	22218
24	563	21981
25	590	22132
26	617	22260
27	643	22334
28	676	22639
29	724	23427
30	746	23349
31	764	23113
32	787	23071
33	806	22908
34	827	22803
35	849	22741
36	865	22527
37	898	22745
38	918	22642
39	940	22562
40	955	22356
41	972	22177
42	990	22039
43	1009	21926
44	1030	21876
45	1047	21719
46	1064	21574
47	1094	21700
48	1114	21628
49	1131	21494
50	1148	21376
51	1165	21239
52	1183	21153
53	1204	21095
54	1223	21026
55	1239	20895
56	1255	20770
57	1291	20978
58	1311	20921
59	1329	20823
60	1346	20725
61	1365	20661
62	1389	20664
63	1406	20574
64	1428	20547
65	1447	20486
66	1462	20370
67	1477	20244
68	1494	20159
69	1520	20204
70	1538	20131
71	1554	20040
72	1570	19946
73	1593	19940
74	1614	19909
75	1636	19897
76	1653	19819
77	1671	19758
78	1691	19722
79	1712	19698
80	1731	19648
81	1747	19564
82	1762	19475
83	1779	19400
84	1794	19321
85	1814	19289
86	1835	19265
87	1854	19218
88	1875	19194
89	1909	19304
90	1937	19352
91	1964	19388
92	1990	19415
93	2014	19416
94	2056	19588
95	2100	19778
96	2124	19780
97	2151	19801
98	2176	19805
99	2208	19872
100	2243	19971
101	2302	20274
102	2327	20265
103	2352	20265
104	2386	20339
105	2416	20380
106	2453	20472
107	2490	20567
108	2550	20851
109	2584	20911
110	2618	20974
111	2647	20988
112	2676	21011
113	2727	21200
114	2783	21421
115	2818	21479
116	2854	21545
117	2892	21618
118	2955	21881
119	2985	21895
120	3009	21862
121	3033	21828
122	3059	21817
123	3106	21945
124	3158	22108
125	3187	22112
126	3210	22072
127	3234	22032
128	3265	22046
129	3324	22251
130	3356	22263
131	3388	22280
132	3414	22261
133	3437	22214
134	3466	22214
135	3523	22384
136	3559	22419
137	3603	22510
138	3642	22560
139	3682	22621
140	3733	22747
141	3756	22699
142	3789	22708
143	3811	22659
144	3850	22707
145	3886	22733
146	3936	22841
147	3958	22790
148	3984	22758
149	4013	22741
150	4050	22775
151	4087	22806
152	4118	22799
153	4163	22871
154	4195	22872
155	4226	22865
156	4257	22858
157	4291	22872
158	4326	22885
159	4370	22944
160	4392	22891
161	4422	22876
162	4459	22900
163	4494	22909
164	4533	22944
165	4576	22994
166	4604	22968
167	4631	22936
168	4663	22929
169	4690	22902
170	4735	22959
171	4776	22992
172	4828	23080
173	4856	23053
174	4884	23028
175	4923	23049
176	4965	23086
177	5007	23122
178	5036	23100
179	5060	23054
180	5088	23026
181	5113	22980
182	5139	22946
183	5178	22965
184	5240	23085
185	5269	23059
186	5293	23013
187	5320	22981
188	5350	22959
189	5388	22973
190	5444	23060
191	5479	23060
192	5507	23028
193	5535	22996
194	5570	22996
195	5622	23064
196	5656	23055
197	5683	23021
198	5711	22988
199	5738	22954
200	5770	22939
201	5821	22997
202	5853	22983
203	5887	22971
204	5914	22935
205	5941	22899
206	5983	22920
207	6013	22895
208	6056	22920
209	6079	22870
210	6100	22813
211	6125	22768
212	6156	22746
213	6189	22735
214	6223	22722
215	6266	22743
216	6294	22711
217	6314	22651
218	6346	22632
219	6379	22618
220	6408	22589
221	6452	22614
222	6481	22584
223	6509	22549
224	6531	22498
225	6560	22469
226	6593	22451
227	6627	22441
228	6659	22421
229	6709	22463
230	6739	22435
231	6762	22386
232	6787	22342
233	6831	22362
234	6860	22332
235	6915	22389
236	6943	22353
237	6970	22318
238	6997	22281
239	7023	22240
240	7059	22232
241	7098	22235
242	7154	22287
243	7179	22245
244	7205	22203
